fss1,(bus) stop,arrêt
fss2,4 pm ; 16.00,seize heures
fss3,a beach,une plage
fss4,a bone ; bones,un os ; des os
fss5,a brain,un cerveau
fss6,a branch of the French military ; policing rural and semi-rural areas,gendarme
fss7,a cat,un chat
fss8,a computer,un ordinateur
fss9,a country,un pays
fss10,a courthouse,un tribunal
fss11,a crocodile,un crocodile
fss12,a dancer,un danseur
fss13,a day at work,un jour de travail
fss14,a dog,un chien
fss15,a dog (female),une chienne
fss16,a drink ; a beverage,une boisson
fss17,a female,une femelle
fss18,a female cat,une chatte
fss19,a female dancer,une danseuse
fss20,a female horse,une jument
fss21,a female journalist,une journaliste
fss22,a female school teacher,une maîtresse
fss23,a female shop attendant,une vendeuse
fss24,a female tourist,une touriste
fss25,a fine,amende
fss26,a gender,un genre
fss27,a group of ten units,dizaine
fss28,a group of twenty ; thirty ; forty units…,vingtaine ; trentaine ; quarantaine
fss29,a half,un demi
fss30,a headache,un mal de tête
fss31,a hen,une poule
fss32,a horse,un cheval
fss33,a house,une maison
fss34,a hundred,centaine
fss35,a hundredth,un centième
fss36,a jam,une confiture
fss37,a journalist,un journaliste
fss38,a kiss,un bisou
fss39,a knock ; a punch,un coup
fss40,a lady,une dame
fss41,a little,un peu
fss42,a little ; a bit,un peu
fss43,a little ; a few,peu
fss44,a long time,longtemps
fss45,a man,un homme
fss46,a master,un maître
fss47,a migraine,une migraine
fss48,a nap,une sieste
fss49,a nation,une nation
fss50,a native langage ; a mother tongue,une langue maternelle
fss51,a person who searches for gold,chercheur d’or
fss52,a plane steward,un steward
fss53,a plane stewardess,une hôtesse de l’air
fss54,a quarter,un quart
fss55,a remedy ; a drug,un remède
fss56,a rose bush,un rosier
fss57,a season,une saison
fss58,a song,une chanson
fss59,a sting ; an injection,une piqûre
fss60,a stop,un arrêt
fss61,a store attendant,un vendeur
fss62,a stroll,un tour
fss63,a surprise,une surprise
fss64,a tenth,un dixième
fss65,a third,un tiers
fss66,a thousand,millier
fss67,a tourist,un touriste
fss68,a window box,une jardinière
fss69,a woman,une femme
fss70,about ; approximately,à peu près
